Formula Workfunction HoF E_Hull IP(M) IP(X) IP(T) EA(M) EA(X) EA(T) EN(M) EN(X) EN(T) Length(x) r-(M) r-(X) r-(T)
Mn2CH2O2 1.605877655 -0.679253723 0.192975818 7.434 11.2603 13.017 -0.5 1.262 1.827 1.55 2.55 2.82 301.5 38.9 59.6 41.4
Ta2CH2O2 2.562581276 -1.052686743 0.290355319 7.89 11.2603 13.017 0.323 1.262 1.827 1.5 2.55 2.82 320.1 78.4 59.6 41.4
Y2CH2O2 1.423007374 -1.502911873 0.494482885 6.217 11.2603 13.017 0.308 1.262 1.827 1.22 2.55 2.82 358.3 86.5 59.6 41.4
Mn2H2NO2 1.548754523 -0.778281928 0.165237161 7.434 14.5341 13.017 -0.5 -0.07 1.827 1.55 3.04 2.82 307.1 38.9 48.8 41.4
Ta2H2NO2 2.497220519 -1.027565899 0.484552781 7.89 14.5341 13.017 0.323 -0.07 1.827 1.5 3.04 2.82 293.1 78.4 48.8 41.4
Y2H2NO2 2.036421682 -1.838113135 0.322115271 6.217 14.5341 13.017 0.308 -0.07 1.827 1.22 3.04 2.82 348.4 86.5 48.8 41.4
Mn3C2H2O2 1.696293082 -0.438861518 0.250227402 7.434 11.2603 13.017 -0.5 1.262 1.827 1.55 2.55 2.82 296.4 38.9 59.6 41.4
Ta3C2H2O2 2.393978169 -0.8739851270000001 0.305349568 7.89 11.2603 13.017 0.323 1.262 1.827 1.5 2.55 2.82 313.09999999999997 78.4 59.6 41.4
Y3C2H2O2 1.842956209 -1.119985663 0.5534191970000001 6.217 11.2603 13.017 0.308 1.262 1.827 1.22 2.55 2.82 355.1 86.5 59.6 41.4
Nb3H2N2O2 2.115742695 -1.145816695 0.274915647 6.7588 14.5341 13.017 0.894 -0.07 1.827 1.6 3.04 2.82 294.9 74.7 48.8 41.4
V3H2N2O2 2.32431541 -1.079086762 0.235674563 6.746 14.5341 13.017 0.526 -0.07 1.827 1.63 3.04 2.82 282.2 44.9 48.8 41.4
Mo3C2F2 6.023370389 -0.7372016259999999 0.264770304 7.0942 11.2603 17.4228 0.749 1.262 3.401 2.16 2.55 3.98 289.2 70.2 59.6 36.0
Ti3C2F2 4.537062608 -1.860417794 0.002975813 6.8282 11.2603 17.4228 0.087 1.262 3.401 1.54 2.55 3.98 307.0 48.9 59.6 36.0
Zr3C2F2 3.214799793 -1.964052754 0.0 6.6339 11.2603 17.4228 0.427 1.262 3.401 1.33 2.55 3.98 332.1 79.0 59.6 36.0
Mo3C2O2 6.375504982000001 -0.656378274 0.291724408 7.0942 11.2603 13.618 0.749 1.262 1.439 2.16 2.55 3.44 296.5 70.2 59.6 41.4
Ti3C2O2 6.14203621 -1.608598373 0.175274036 6.8282 11.2603 13.618 0.087 1.262 1.439 1.54 2.55 3.44 303.79999999999995 48.9 59.6 41.4
Zr3C2O2 5.432554827000001 -1.796041003 0.210861984 6.6339 11.2603 13.618 0.427 1.262 1.439 1.33 2.55 3.44 329.59999999999997 79.0 59.6 41.4
Nb3F2N2 5.236543012 -1.625730519 0.251909465 6.7588 14.5341 17.4228 0.894 -0.07 3.401 1.6 3.04 3.98 291.8 74.7 48.8 36.0
V3F2N2 5.417162109 -1.546310437 0.254912671 6.746 14.5341 17.4228 0.526 -0.07 3.401 1.63 3.04 3.98 278.4 44.9 48.8 36.0
Cr3N2O2 6.817073092 -0.829810508 0.317160354 6.766 14.5341 13.618 0.6758 -0.07 1.439 1.66 3.04 3.44 275.2 42.7 48.8 41.4
Sc3N2O2 6.398742919 -2.281217672 0.366276919 6.5614 14.5341 13.618 0.189 -0.07 1.439 1.36 3.04 3.44 325.2 53.9 48.8 41.4
W3N2O2 7.117395296000001 -0.716222082 0.246157508 7.98 14.5341 13.618 0.816 -0.07 1.439 2.36 3.04 3.44 281.70000000000005 74.6 48.8 41.4
Hf4C3H2O2 2.341269868 -1.263441104 0.202306825 6.825 11.2603 13.017 0.178 1.262 1.827 1.3 2.55 2.82 331.1 82.9 59.6 41.4
Sc4C3H2O2 1.686086439 -1.036525119 0.406312153 6.5614 11.2603 13.017 0.189 1.262 1.827 1.36 2.55 2.82 328.2 53.9 59.6 41.4
W4C3H2O2 1.962004355 -0.24548654 0.4386747029999999 7.98 11.2603 13.017 0.816 1.262 1.827 2.36 2.55 2.82 316.29999999999995 74.6 59.6 41.4
Hf4H2N3O2 2.711951359 -1.609141583 0.272699897 6.825 14.5341 13.017 0.178 -0.07 1.827 1.3 3.04 2.82 323.5 82.9 48.8 41.4
Sc4H2N3O2 2.042803707 -1.947394024 0.135459219 6.5614 14.5341 13.017 0.189 -0.07 1.827 1.36 3.04 2.82 320.7 53.9 48.8 41.4
W4H2N3O2 2.065608799 -0.288075632 0.424045437 7.98 14.5341 13.017 0.816 -0.07 1.827 2.36 3.04 2.82 327.9 74.6 48.8 41.4
Mn3C2 4.551475838 0.44375184 0.49998961 7.434 11.2603 7.434 -0.5 1.262 -0.5 1.55 2.55 1.55 293.1 38.9 59.6 38.9
Ta3C2 4.690470077 0.007367478 0.635990619 7.89 11.2603 7.89 0.323 1.262 0.323 1.5 2.55 1.5 314.8 78.4 59.6 78.4
Y3C2 3.520095171 -0.140203065 0.198954647 6.217 11.2603 6.217 0.308 1.262 0.308 1.22 2.55 1.22 361.5 86.5 59.6 86.5
Mn3N2 4.630992305 0.183639837 0.38639898 7.434 14.5341 7.434 -0.5 -0.07 -0.5 1.55 3.04 1.55 308.8 38.9 48.8 38.9
Ta3N2 5.290320619 -0.308609979 0.7648769759999999 7.89 14.5341 7.89 0.323 -0.07 0.323 1.5 3.04 1.5 293.2 78.4 48.8 78.4
Y3N2 4.134395041 -1.093169715 0.294136582 6.217 14.5341 6.217 0.308 -0.07 0.308 1.22 3.04 1.22 348.20000000000005 86.5 48.8 86.5
Mo4C3F2 5.969642723 -0.613551279 0.199913684 7.0942 11.2603 17.4228 0.749 1.262 3.401 2.16 2.55 3.98 314.29999999999995 70.2 59.6 36.0
Ti4C3F2 4.572972107 -1.635185788 0.0 6.8282 11.2603 17.4228 0.087 1.262 3.401 1.54 2.55 3.98 307.90000000000003 48.9 59.6 36.0
Zr4C3F2 3.516069293 -1.71728553 0.004888404 6.6339 11.2603 17.4228 0.427 1.262 3.401 1.33 2.55 3.98 333.3 79.0 59.6 36.0
Nb4F2N3 4.235459161000001 -1.506302394 0.225002587 6.7588 14.5341 17.4228 0.894 -0.07 3.401 1.6 3.04 3.98 319.9 74.7 48.8 36.0
V4F2N3 5.355879366 -1.493826455 0.162109715 6.746 14.5341 17.4228 0.526 -0.07 3.401 1.63 3.04 3.98 299.40000000000003 44.9 48.8 36.0
Cr4C3O2 6.570992021 -0.414451418 0.351097066 6.766 11.2603 13.618 0.6758 1.262 1.439 1.66 2.55 3.44 290.09999999999997 42.7 59.6 41.4
Nb4C3O2 5.594921286 -1.211952172 0.077252271 6.7588 11.2603 13.618 0.894 1.262 1.439 1.6 2.55 3.44 314.40000000000003 74.7 59.6 41.4
V4C3O2 6.581941225 -0.967520279 0.146186409 6.746 11.2603 13.618 0.526 1.262 1.439 1.63 2.55 3.44 292.4 44.9 59.6 41.4
Cr4N3O2 6.34702856 -0.855985122 0.136522482 6.766 14.5341 13.618 0.6758 -0.07 1.439 1.66 3.04 3.44 294.7 42.7 48.8 41.4
Nb4N3O2 5.358477578 -1.5326914 0.158959267 6.7588 14.5341 13.618 0.894 -0.07 1.439 1.6 3.04 3.44 314.2 74.7 48.8 41.4
V4N3O2 6.194619891 -1.376900839 0.162010031 6.746 14.5341 13.618 0.526 -0.07 1.439 1.63 3.04 3.44 292.4 44.9 48.8 41.4
Cr4C3 4.444378266 0.373496671 0.450647255 6.766 11.2603 6.766 0.6758 1.262 0.6758 1.66 2.55 1.66 294.4 42.7 59.6 42.7
Nb4C3 4.41065153 -0.26922953 0.365867031 6.7588 11.2603 6.7588 0.894 1.262 0.894 1.6 2.55 1.6 312.9 74.7 59.6 74.7
V4C3 4.523354721 -0.131807621 0.3749842370000001 6.746 11.2603 6.746 0.526 1.262 0.526 1.63 2.55 1.63 292.4 44.9 59.6 44.9
Cr4N3 4.072196491000001 -0.121958653 0.290493886 6.766 14.5341 6.766 0.6758 -0.07 0.6758 1.66 3.04 1.66 303.3 42.7 48.8 42.7
Nb4N3 4.796419169 -0.569596404 0.556592773 6.7588 14.5341 6.7588 0.894 -0.07 0.894 1.6 3.04 1.6 314.9 74.7 48.8 74.7
V4N3 4.767996235 -0.5933562729999999 0.470175025 6.746 14.5341 6.746 0.526 -0.07 0.526 1.63 3.04 1.63 293.29999999999995 44.9 48.8 44.9
Cr2C 4.716535002 0.789143783 0.8760236490000001 6.766 11.2603 6.766 0.6758 1.262 0.6758 1.66 2.55 1.66 283.40000000000003 42.7 59.6 42.7
Nb2C 4.535834564 0.284040518 0.837083803 6.7588 11.2603 6.7588 0.894 1.262 0.894 1.6 2.55 1.6 311.6 74.7 59.6 74.7
V2C 4.635133763 0.337235199 0.7915383340000001 6.746 11.2603 6.746 0.526 1.262 0.526 1.63 2.55 1.63 290.3 44.9 59.6 44.9
Mo2N 5.004303233 0.66310091 0.986071151 7.0942 14.5341 7.0942 0.749 -0.07 0.749 2.16 3.04 2.16 280.90000000000003 70.2 48.8 70.2
Ta2N 4.770044727 0.164725324 1.138550709 7.89 14.5341 7.89 0.323 -0.07 0.323 1.5 3.04 1.5 309.0 78.4 48.8 78.4
